fcode,f0001a,f0002a,f0003a,f0004a,f0005a,f0006a,f0007a,f0008a,f0009a,f0010a,f0011a,f0012a,f0013a,f0014a,f0015a,f0016a,f0017a,f0018a,f0019a,f0020a,f0021a,f0022a,f0023a,f0024a,f0025a,f0026a,f0027a,f0028a,f0029a,f0030a,f0031a,f0032a,f0033a,f0034a,f0035a,f0036a,f0037a,f0038a,f0039a,f0040a,f0041a,f0042a,f0043a,f0044a,f0045a,f0046a,f0047a,f0048a,f0049a,f0050a,f0051a,f0052a,f0053a,f0054a,f0055a,f0056a,f0057a,f0058a,f0059a
f0015a,0.00598751492982842,0.04077609464691242,0.023952315609675923,0.015690992532666728,-0.02058038979803758,-0.0005136589664038266,0.0012962601791208022,0.007084919132698051,0.0008495996452207088,-0.05926131893661597,0.003640801188525023,0.00025901024687306225,-0.002553853538574746,0.23075687414619217,1.0,0.006505588575168668,-0.0009500526163166735,-0.10880615028384742,-0.10895737971741057,-0.1090305281849836,-0.11252051867276003,-0.10854428093799004,-0.020053332568310784,-0.010616807702316194,-0.002553184559611954,-0.020580389798037585,-0.008224269272561,0.0018645277036167718,-0.012123965579121937,0.004998045716684857,-0.01903760584167691,-0.0008074862345865869,0.00056199339037125,-0.044643400581377696,0.007750366120322399,-0.005977757043847131,-0.08695299634685544,,,,,,,0.005818481164926594,,,,0.024945881274569086,,,,,,,,,,,
f0016a,-0.03356724873382766,-0.29529165062864066,-0.15777672778130092,0.013181336667495618,0.3821205999416686,0.22114147101458578,-0.12703219375314767,-0.021207577760582123,0.04611290451869681,-0.0218398698266712,0.018518322332404514,0.18552446280147944,0.011666651588737005,0.0044995438301979815,0.006505588575168668,1.0,0.18452833283443926,-0.05352590374685629,-0.05664266618804437,-0.05773023609871935,-0.0636386070911511,-0.05350394630316812,0.12838114767380873,0.14185992182141138,0.17887047539254536,0.38212059994166864,0.21134054772205366,-0.018792264235869945,-0.09266559604435762,0.8584049027649322,0.012812606307977554,-0.02434582386803296,-0.08938484955738431,0.13378734285224556,-0.08696271370656838,0.01850403729051767,-0.013020771313524276,,,,,,,0.00308208269309461,,,,-0.2487086100084402,,,,,,,,,,,
f0017a,-0.04556513428844234,-0.48688217014563784,-0.24407915496513627,0.21219757967713654,0.2847581450191392,0.19476779447621287,-0.12468978241489627,-0.06234608295888479,0.05653934697742721,0.1573599174527773,0.7988690957463183,0.9689665824782341,0.7295037599382497,0.03654649795967083,-0.0009500526163166735,0.18452833283443926,1.0,0.21620234147787457,0.21361538825610227,0.21263509105187825,0.18577692236931923,0.21634708125846083,0.7694266236346654,0.7520541333789792,0.15040376759680374,0.2847581450191392,0.08129953522424574,-0.04496355523283083,-0.0807408937240853,0.09578597120306338,-0.37889530897586027,0.12292050556715527,-0.11399283606284502,0.19155151867088163,0.23258672943769482,0.013187032003673627,0.03442688268001324,,,,,,,-0.018270491568252178,,,,-0.13851429100032578,,,,,,,,,,,
f0018a,-0.011269769847552494,-0.2372634676648796,-0.10975493358360643,0.17490437318977647,0.006722539448536528,0.05007773442545301,-0.016881908331878994,-0.022279887951838318,0.01307526477576232,0.0745012681325612,0.21604320755736817,0.2193495863144143,0.21448543295447856,0.2219576104776314,-0.10880615028384742,-0.05352590374685629,0.21620234147787457,1.0,0.9997160971279352,0.9995237598707621,0.9865218310358264,0.999894485414834,0.2452235852564432,0.22545622547602914,0.018903045503039374,0.00672253944853653,0.02193490667674047,-0.013582216460114788,0.02994657697585626,-0.0739972967658359,-0.019958459457411773,0.0006114608050830516,-0.01475772309849034,0.0881570388680032,0.14485270261539543,0.017174336838861933,0.17008943616071936,,,,,,,-0.014002384291999966,,,,-0.028789958404205642,,,,,,,,,,,
f0019a,-0.00917250278461101,-0.23374131971927395,-0.10666162323447131,0.1717645070758281,0.004012298843504685,0.03970865774038744,-0.006041048221985527,-0.022810715360748014,0.010799378966253473,0.07431854766690943,0.21544876007599362,0.21717634725196325,0.2140634747819801,0.2221451672708863,-0.10895737971741057,-0.05664266618804437,0.21361538825610227,0.9997160971279352,1.0,0.999965694892684,0.9881863571115348,0.9996330848954889,0.24424994271765443,0.22467415982115677,0.007944491771054805,0.004012298843504687,0.019350752352336454,-0.013460714887001726,0.0376065507191318,-0.0757437029611214,-0.020367757460549283,-0.0014419725245550634,-0.013438448866900758,0.08526602578757873,0.14471446458828605,0.016777317190726667,0.16995040878239953,,,,,,,-0.01366643308987301,,,,-0.028877555072954832,,,,,,,,,,,
f0020a,-0.00875085197264702,-0.23232314457759617,-0.10574762899755483,0.1705630014514196,0.0028187916461293798,0.035722908863697875,-0.0032482764441071075,-0.022810727328401257,0.010226353267633884,0.07428765740492577,0.21515629519582907,0.21626415577897767,0.21384955198839856,0.2222135871047465,-0.1090305281849836,-0.05773023609871935,0.21263509105187825,0.9995237598707621,0.999965694892684,1.0,0.988802290181436,0.999434086532463,0.24370721810609372,0.22421938436865224,0.004738863646325023,0.0028187916461293767,0.018444377058173818,-0.01347917771713272,0.03941880809164967,-0.07627188250003583,-0.020459689386474012,-0.0018622615795564968,-0.012720924689401792,0.08470474009544675,0.1445647864692278,0.01665205552921054,0.16985816509483112,,,,,,,-0.013526790442851832,,,,-0.028868397278717945,,,,,,,,,,,
f0021a,-0.005167409044426063,-0.19395459721290656,-0.0871016696026528,0.12310311848288939,-0.015938575606057492,-0.019134163956315575,0.015074648555365503,-0.019941356948111055,0.003825523688068944,0.07368012313861078,0.19508675452796356,0.18858679697081734,0.1982066732477277,0.2250887887741464,-0.11252051867276003,-0.0636386070911511,0.18577692236931923,0.9865218310358264,0.9881863571115348,0.988802290181436,1.0,0.9862786684796858,0.21716902576412145,0.20175108639708814,-0.023357376193574374,-0.015938575606057496,0.011929090487244578,-0.0158044418994695,0.04376738482870165,-0.07129850304479915,-0.015316497755396213,-0.0008883216395009155,0.004938064316556657,0.08276291926420291,0.09253167824324623,0.014212120991012095,0.1577984495234249,,,,,,,-0.006441392940277376,,,,-0.04016214524625075,,,,,,,,,,,
f0022a,-0.009434903661161684,-0.23737512242740538,-0.10851895952440675,0.17520656384921388,0.006861124852661848,0.05056564988362733,-0.016409192789352472,-0.022962298687318434,0.011647651229882533,0.07396764660712846,0.21611296095107319,0.21952762544651017,0.21452566960411057,0.22214707923105434,-0.10854428093799004,-0.05350394630316812,0.21634708125846083,0.999894485414834,0.9996330848954889,0.999434086532463,0.9862786684796858,1.0,0.24527835958958105,0.22551071367119624,0.017454586330718853,0.006861124852661852,0.0218763611174031,-0.013190392214939062,0.031849255642596816,-0.07416245186683632,-0.020152603305296887,0.00036866755406070144,-0.01491010428032925,0.08637533118483054,0.1448350427957149,0.01721829210712705,0.16948554933549143,,,,,,,-0.013995264448516362,,,,-0.028916663812238595,,,,,,,,,,,
f0023a,-0.02618960105913276,-0.3881575978133726,-0.18657736656976784,0.2050827372896236,0.24358428654382333,0.12027398295356385,-0.01544506775898283,-0.051323162245558954,0.03750081925920404,0.17042381986441693,0.7249581634003166,0.7942842162301155,0.6714120047178177,0.03266142811459818,-0.020053332568310784,0.12838114767380873,0.7694266236346654,0.2452235852564432,0.24424994271765443,0.24370721810609372,0.21716902576412145,0.24527835958958105,1.0,0.97338153412768,0.036056763027371166,0.24358428654382333,0.04949873173206331,-0.032384410219137676,-0.0376356382932639,0.045455445353305146,-0.33161080630667916,-0.025516301324153758,-0.11103846015658492,0.08995271498449978,0.23425275425999206,0.011456417335658038,0.023316892922825443,,,,,,,-0.012321134906459804,,,,-0.10590350913028582,,,,,,,,,,,
f0024a,-0.024079603408232533,-0.36672807081028125,-0.17597784512762066,0.2803096936890608,0.2384248766208362,0.10762153148951642,-0.010166895137424161,-0.05125272105447511,0.035345568168854424,0.1521011237590989,0.7092991987691742,0.7769620836310144,0.6554723777833199,0.03611988761022952,-0.010616807702316194,0.14185992182141138,0.7520541333789792,0.22545622547602914,0.22467415982115677,0.22421938436865224,0.20175108639708814,0.22551071367119624,0.97338153412768,1.0,0.028419701980212913,0.23842487662083617,0.04942866121797592,-0.034210811959880974,-0.03513746668721695,0.05964400188088241,-0.3292526990945957,-0.026113400707646034,-0.10526607202444146,0.07687015253791919,0.20320968437535508,0.011283060244848939,0.006638918485857268,,,,,,,-0.00799435665464022,,,,-0.10498202617512621,,,,,,,,,,,
