分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
技术指标因子,15,平滑异同移动平均线,21.24,2.83,0.13,0.14,0.143,0.771
技术指标因子,16,资金流量指标,2.81,-1.46,0.19,0.18,0.132,0.139
每股指标因子,1,市净率,8.97,-9.86,0.02,0.01,0.141,0.311
每股指标因子,2,总市值,27.88,-16.7,0.02,0.01,0.556,0.435
每股指标因子,3,每股净资产,-5.27,15.78,0.0,0.0,0.471,0.814
每股指标因子,4,每股收益TTM,-2.99,7.87,0.0,0.0,0.092,0.654
每股指标因子,5,每股未分配利润,-9.83,6.84,0.0,0.0,0.615,0.295
每股指标因子,6,每股现金及现金等价物余额,-0.86,1.29,0.01,0.0,0.93,0.513
每股指标因子,7,每股留存收益,-11.59,6.37,0.0,0.0,0.074,0.789
每股指标因子,8,每股经营活动产生的现金流量净额,-2.5,-1.13,0.01,0.0,0.412,0.704
每股指标因子,9,每股营业利润TTM,-2.17,6.95,0.0,0.0,0.218,0.971
每股指标因子,10,每股营业总收入,-37.04,-0.55,0.01,0.01,0.66,0.079
每股指标因子,11,每股营业收入TTM,-49.71,-0.43,0.0,0.0,0.306,0.462
每股指标因子,12,每股营业收入,-34.76,-0.53,0.01,0.01,0.353,0.446
每股指标因子,13,每股资本公积金,-8.61,24.6,0.0,0.0,0.403,0.202
财务类因子,1,加:期初现金及现金等价物余额,35.4,0.68,0.4,0.13,0.401,0.739
财务类因子,2,收到原保险合同保费取得的现金,-72.44,0.61,0.58,0.44,0.482,0.602
财务类因子,3,收取利息、手续费及佣金的现金,18.88,0.31,0.13,0.27,0.356,0.31
财务类因子,4,销售商品、提供劳务收到的现金,79.57,0.32,0.55,0.15,0.701,0.037
财务类因子,5,偿还债务支付的现金,33.02,0.8,0.56,0.74,0.607,0.207
财务类因子,6,分配股利、利润或偿付利息支付的现金,47.29,0.59,0.81,0.94,0.684,0.656
财务类因子,7,支付给职工以及为职工支付的现金,45.69,0.53,0.86,0.88,0.799,0.273
财务类因子,8,购买商品、接受劳务支付的现金,77.56,0.11,0.63,0.78,0.667,0.774
财务类因子,9,支付原保险合同赔付款项的现金,-4.35,0.3,0.48,0.03,0.152,0.618
财务类因子,10,支付利息、手续费及佣金的现金,8.03,0.82,0.96,0.13,0.253,0.794
财务类因子,11,投资支付的现金,38.92,0.5,0.25,0.35,0.516,0.216
财务类因子,12,支付保单红利的现金,-81.03,0.29,0.33,0.15,0.547,0.663
财务类因子,13,购建固定资产、无形资产和其他长期资产支付的现金,140.78,0.43,0.15,0.89,0.815,0.776
财务类因子,14,其中:子公司支付给少数股东的股利、利润,17.98,0.42,0.95,0.3,0.724,0.585
财务类因子,15,支付的各项税费,90.44,0.4,0.85,0.12,0.983,0.355
财务类因子,16,吸收投资收到的现金,32.11,0.02,0.49,0.55,0.988,0.967
财务类因子,17,取得投资收益收到的现金,37.34,0.07,0.15,0.85,0.916,0.789
财务类因子,18,其中:子公司吸收少数股东投资收到的现金,12.98,0.62,0.87,0.73,0.738,0.569
财务类因子,19,发行债券收到的现金,46.0,0.24,0.41,0.66,0.258,0.361
财务类因子,20,取得借款收到的现金,22.19,0.8,0.99,0.52,0.956,0.605
财务类因子,21,收回投资收到的现金,15.67,0.01,0.98,0.01,0.653,0.897
财务类因子,22,汇率变动对现金及现金等价物的影响,18.67,0.32,0.59,0.54,0.992,0.84
财务类因子,23,期末现金及现金等价物余额,40.08,0.68,0.13,0.78,0.306,0.212
财务类因子,24,影响现金及现金等价物的差错金额,0.81,0.12,0.85,0.5,0.993,0.821
财务类因子,25,筹资活动现金流入的调整项目,24.21,0.48,0.51,0.55,0.506,0.952
财务类因子,26,筹资活动现金流出的调整项目,17.56,0.3,0.32,0.98,0.308,0.678
财务类因子,27,筹资活动现金流出的差错金额,1.21,0.4,0.54,0.35,0.018,0.882
财务类因子,28,投资活动现金流出的调整项目,-15.31,0.03,0.84,0.32,0.567,0.629
财务类因子,29,投资活动现金流入的调整项目,7.65,0.84,0.17,0.04,0.22,0.725
财务类因子,30,收到再保险业务现金净额,-0.78,0.98,0.49,0.08,0.185,0.784
财务类因子,31,取得子公司及其他营业单位支付的现金净额,13.5,0.74,0.58,0.75,0.356,0.65
财务类因子,32,处置固定资产、无形资产和其他长期资产收回的现金净额,57.69,0.98,0.97,0.06,0.323,0.922
财务类因子,33,处置子公司及其他营业单位收到的现金净额,7.96,0.75,0.36,0.22,0.002,0.28
财务类因子,34,向中央银行借款净减少额,-0.56,0.96,0.93,0.07,0.091,0.967
财务类因子,35,客户存款和同业存放款项净减少额,-0.06,0.06,0.03,0.52,0.316,0.815
财务类因子,36,存放中央银行和同业款项净减少额,3.3,0.03,0.86,0.47,0.461,0.4
财务类因子,37,向其他金融机构拆出资金净减少额,-12.58,0.76,0.77,0.59,0.139,0.649
财务类因子,38,筹资活动产生的现金流量净额,-3.11,0.37,0.7,0.21,0.524,0.509
财务类因子,39,处置交易性金融资产净增加额,19.84,0.84,0.3,0.79,0.872,0.325
财务类因子,40,保户储金及投资款净增加额,-3.02,0.76,0.19,0.45,0.718,0.378
财务类因子,41,向中央银行借款净增加额,-16.82,0.96,0.79,0.05,0.921,0.868
财务类因子,42,向其他金融机构拆入资金净增加额,-68.35,0.89,0.1,0.48,0.077,0.14
