序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
154,经营活动产生的现金流量净额与负债合计比率,9.72%,8.34%,0.01%,0.01%,0.083,0.327
155,经营活动产生的现金流量净额增长率,-0.35%,0.07%,0.01%,0.01%,0.217,0.127
156,股东权益与固定资产比率,-6.44%,-14.01%,0.00%,0.00%,0.464,0.918
157,股东权益周转率,-90.93%,-2.75%,0.00%,0.00%,0.091,0.075
158,股东权益比率,-11.81%,14.99%,0.00%,0.00%,0.238,0.517
159,财务费用与营业总收入之比,16.49%,0.63%,0.00%,0.00%,0.647,0.134
160,销售净利率,2.91%,-40.76%,0.00%,0.00%,0.100,0.439
161,长期借款与资产总计之比,7.39%,-6.81%,0.01%,0.00%,0.038,0.296
162,长期负债与营运资金比率,-11.96%,-2.51%,0.00%,0.00%,0.170,0.658
163,长期负债与资产总计之比,20.15%,-4.62%,0.00%,0.00%,0.826,0.436
164,非流动资产比率,15.10%,-366.08%,0.00%,0.00%,0.835,0.153
165,加:期初现金及现金等价物余额,35.40%,0.68%,0.40%,0.13%,0.401,0.739
166,收到原保险合同保费取得的现金,-72.44%,0.61%,0.58%,0.44%,0.482,0.602
167,收取利息、手续费及佣金的现金,18.88%,0.31%,0.13%,0.27%,0.356,0.310
168,销售商品、提供劳务收到的现金,79.57%,0.32%,0.55%,0.15%,0.701,0.037
169,偿还债务支付的现金,33.02%,0.80%,0.56%,0.74%,0.607,0.207
170,分配股利、利润或偿付利息支付的现金,47.29%,0.59%,0.81%,0.94%,0.684,0.656
171,支付给职工以及为职工支付的现金,45.69%,0.53%,0.86%,0.88%,0.799,0.273
172,购买商品、接受劳务支付的现金,77.56%,0.11%,0.63%,0.78%,0.667,0.774
173,支付原保险合同赔付款项的现金,-4.35%,0.30%,0.48%,0.03%,0.152,0.618
174,支付利息、手续费及佣金的现金,8.03%,0.82%,0.96%,0.13%,0.253,0.794
175,投资支付的现金,38.92%,0.50%,0.25%,0.35%,0.516,0.216
176,支付保单红利的现金,-81.03%,0.29%,0.33%,0.15%,0.547,0.663
177,购建固定资产、无形资产和其他长期资产支付的现金,140.78%,0.43%,0.15%,0.89%,0.815,0.776
178,其中:子公司支付给少数股东的股利、利润,17.98%,0.42%,0.95%,0.30%,0.724,0.585
179,支付的各项税费,90.44%,0.40%,0.85%,0.12%,0.983,0.355
180,吸收投资收到的现金,32.11%,0.02%,0.49%,0.55%,0.988,0.967
181,取得投资收益收到的现金,37.34%,0.07%,0.15%,0.85%,0.916,0.789
182,其中:子公司吸收少数股东投资收到的现金,12.98%,0.62%,0.87%,0.73%,0.738,0.569
183,发行债券收到的现金,46.00%,0.24%,0.41%,0.66%,0.258,0.361
184,取得借款收到的现金,22.19%,0.80%,0.99%,0.52%,0.956,0.605
185,收回投资收到的现金,15.67%,0.01%,0.98%,0.01%,0.653,0.897
186,汇率变动对现金及现金等价物的影响,18.67%,0.32%,0.59%,0.54%,0.992,0.840
187,期末现金及现金等价物余额,40.08%,0.68%,0.13%,0.78%,0.306,0.212
188,影响现金及现金等价物的差错金额,0.81%,0.12%,0.85%,0.50%,0.993,0.821
189,筹资活动现金流入的调整项目,24.21%,0.48%,0.51%,0.55%,0.506,0.952
190,筹资活动现金流出的调整项目,17.56%,0.30%,0.32%,0.98%,0.308,0.678
191,筹资活动现金流出的差错金额,1.21%,0.40%,0.54%,0.35%,0.018,0.882
192,投资活动现金流出的调整项目,-15.31%,0.03%,0.84%,0.32%,0.567,0.629
193,投资活动现金流入的调整项目,7.65%,0.84%,0.17%,0.04%,0.220,0.725
194,收到再保险业务现金净额,-0.78%,0.98%,0.49%,0.08%,0.185,0.784
195,取得子公司及其他营业单位支付的现金净额,13.50%,0.74%,0.58%,0.75%,0.356,0.650
196,处置固定资产、无形资产和其他长期资产收回的现金净额,57.69%,0.98%,0.97%,0.06%,0.323,0.922
197,处置子公司及其他营业单位收到的现金净额,7.96%,0.75%,0.36%,0.22%,0.002,0.280
198,向中央银行借款净减少额,-0.56%,0.96%,0.93%,0.07%,0.091,0.967
